name	x	y	z	material
Fz	4.11329127e-18	0.0671751442	0.0671751442	EEG
F3	-0.05177571	0.06393767	0.0475	EEG
F7	-0.0768566145	0.055839599	5.8170723e-18	EEG
FT9	-0.08316795	0.02702291	-0.03711946	EEG
FC5	-0.08223207	0.03322391	0.03404496	EEG
FC1	-0.03398867	0.0351963	0.08143089	EEG
C3	-0.06717514	-0.0	0.06717514	EEG
T7	-0.095	-0.0	5.8170723e-18	EEG
CP5	-0.08279938	-0.0317837	0.03404496	EEG
CP1	-0.03398867	-0.0351963	0.08143089	EEG
Pz	4.11329127e-18	-0.0671751442	0.0671751442	EEG
P3	-0.05177571	-0.06393767	0.0475	EEG
P7	-0.0768566145	-0.055839599	5.8170723e-18	EEG
O1	-0.0293566145	-0.090350369	5.8170723e-18	EEG
Oz	5.8170723e-18	-0.095	5.8170723e-18	EEG
O2	0.0293566145	-0.090350369	5.8170723e-18	EEG
P4	0.05177571	-0.06393767	0.0475	EEG
P8	0.0768566145	-0.055839599	5.8170723e-18	EEG
TP10	0.08316795	-0.02702291	-0.03711946	EEG
CP6	0.08279938	-0.0317837	0.03404496	EEG
CP2	0.03398867	-0.0351963	0.08143089	EEG
Cz	0.0	0.0	0.095	EEG
C4	0.06717514	0.0	0.06717514	EEG
T8	0.095	0.0	5.8170723e-18	EEG
FT10	0.08316795	0.02702291	-0.03711946	EEG
FC6	0.08279938	0.0317837	0.03404496	EEG
FC2	0.03398867	0.0351963	0.08143089	EEG
F4	0.05177571	0.06393767	0.0475	EEG
F8	0.0768566145	0.055839599	5.8170723e-18	EEG
Fp2	0.0293566145	0.090350369	5.8170723e-18	EEG
AF3	-0.03420902	0.0846703	0.02618555	EEG
AFz	5.35464328e-18	0.0874479611	0.0371194572	EEG
F1	-0.02685832	0.06647668	0.06232561	EEG
F5	-0.06891997	0.05991122	0.02618555	EEG
FT7	-0.090350369	0.0293566145	5.8170723e-18	EEG
FC3	-0.06270797	0.03475959	0.06232561	EEG
C1	-0.03711946	-0.0	0.08744796	EEG
C5	-0.08808247	-0.0	0.03558763	EEG
TP7	-0.090350369	-0.0293566145	5.8170723e-18	EEG
CP3	-0.06270797	-0.03475959	0.06232561	EEG
P1	-0.02685832	-0.06647668	0.06232561	EEG
P5	-0.06891997	-0.05991122	0.02618555	EEG
PO7	-0.055839599	-0.0768566145	5.8170723e-18	EEG
PO3	-0.03420902	-0.0846703	0.02618555	EEG
POz	5.35464328e-18	-0.0874479611	0.0371194572	EEG
PO4	0.03420902	-0.0846703	0.02618555	EEG
PO8	0.055839599	-0.0768566145	5.8170723e-18	EEG
P6	0.06891997	-0.05991122	0.02618555	EEG
P2	0.02685832	-0.06647668	0.06232561	EEG
CPz	2.17911364e-18	-0.0355876264	0.0880824662	EEG
CP4	0.06270797	-0.03475959	0.06232561	EEG
TP8	0.090350369	-0.0293566145	5.8170723e-18	EEG
C6	0.08808247	0.0	0.03558763	EEG
C2	0.03711946	0.0	0.08744796	EEG
FC4	0.06270797	0.03475959	0.06232561	EEG
FT8	0.090350369	0.0293566145	5.8170723e-18	EEG
F6	0.06891997	0.05991122	0.02618555	EEG
AF8	0.055839599	0.0768566145	5.8170723e-18	EEG
AF4	0.03420902	0.0846703	0.02618555	EEG
F2	0.02685832	0.06647668	0.06232561	EEG
